Acestea sunt miscarile care vor ajuta bucatarii sa mute tortul de 16 straturi

Se muta stratul 1 al tortului de pe Platou argint pe Platou bronz
Se muta stratul 2 al tortului de pe Platou argint pe Platou aur
Se muta stratul 1 al tortului de pe Platou bronz pe Platou aur
Se muta stratul 3 al tortului de pe Platou argint pe Platou bronz
Se muta stratul 1 al tortului de pe Platou aur pe Platou argint
Se muta stratul 2 al tortului de pe Platou aur pe Platou bronz
Se muta stratul 1 al tortului de pe Platou argint pe Platou bronz
Se muta stratul 4 al tortului de pe Platou argint pe Platou aur
Se muta stratul 1 al tortului de pe Platou bronz pe Platou aur
Se muta stratul 2 al tortului de pe Platou bronz pe Platou argint
Se muta stratul 1 al tortului de pe Platou aur pe Platou argint
Se muta stratul 3 al tortului de pe Platou bronz pe Platou aur
Se muta stratul 1 al tortului de pe Platou argint pe Platou bronz
Se muta stratul 2 al tortului de pe Platou argint pe Platou aur
Se muta stratul 1 al tortului de pe Platou bronz pe Platou aur
Se muta stratul 5 al tortului de pe Platou argint pe Platou bronz
Se muta stratul 1 al tortului de pe Platou aur pe Platou argint
Se muta stratul 2 al tortului de pe Platou aur pe Platou bronz
Se muta stratul 1 al tortului de pe Platou argint pe Platou bronz
Se muta stratul 3 al tortului de pe Platou aur pe Platou argint
Se muta stratul 1 al tortului de pe Platou bronz pe Platou aur
Se muta stratul 2 al tortului de pe Platou bronz pe Platou argint
Se muta stratul 1 al tortului de pe Platou aur pe Platou argint
Se muta stratul 4 al tortului de pe Platou aur pe Platou bronz
Se muta stratul 1 al tortului de pe Platou argint pe Platou bronz
Se muta stratul 2 al tortului de pe Platou argint pe Platou aur
Se muta stratul 1 al tortului de pe Platou bronz pe Platou aur
Se muta stratul 3 al tortului de pe Platou argint pe Platou bronz
Se muta stratul 1 al tortului de pe Platou aur pe Platou argint
Se muta stratul 2 al tortului de pe Platou aur pe Platou bronz
Se muta stratul 1 al tortului de pe Platou argint pe Platou bronz
Se muta stratul 6 al tortului de pe Platou argint pe Platou aur
Se muta stratul 1 al tortului de pe Platou bronz pe Platou aur
Se muta stratul 2 al tortului de pe Platou bronz pe Platou argint
Se muta stratul 1 al tortului de pe Platou aur pe Platou argint
Se muta stratul 3 al tortului de pe Platou bronz pe Platou aur
Se muta stratul 1 al tortului de pe Platou argint pe Platou bronz
Se muta stratul 2 al tortului de pe Platou argint pe Platou aur
Se muta stratul 1 al tortului de pe Platou bronz pe Platou aur
Se muta stratul 4 al tortului de pe Platou bronz pe Platou argint
Se muta stratul 1 al tortului de pe Platou aur pe Platou argint
Se muta stratul 2 al tortului de pe Platou aur pe Platou bronz
Se muta stratul 1 al tortului de pe Platou argint pe Platou bronz
Se muta stratul 3 al tortului de pe Platou aur pe Platou argint
Se muta stratul 1 al tortului de pe Platou bronz pe Platou aur
Se muta stratul 2 al tortului de pe Platou bronz pe Platou argint
Se muta stratul 1 al tortului de pe Platou aur pe Platou argint
Se muta stratul 5 al tortului de pe Platou bronz pe Platou aur
Se muta stratul 1 al tortului de pe Platou argint pe Platou bronz
Se muta stratul 2 al tortului de pe Platou argint pe Platou aur
Se muta stratul 1 al tortului de pe Platou bronz pe Platou aur
Se muta stratul 3 al tortului de pe Platou argint pe Platou bronz
Se muta stratul 1 al tortului de pe Platou aur pe Platou argint
Se muta stratul 2 al tortului de pe Platou aur pe Platou bronz
Se muta stratul 1 al tortului de pe Platou argint pe Platou bronz
Se muta stratul 4 al tortului de pe Platou argint pe Platou aur
Se muta stratul 1 al tortului de pe Platou bronz pe Platou aur
Se muta stratul 2 al tortului de pe Platou bronz pe Platou argint
Se muta stratul 1 al tortului de pe Platou aur pe Platou argint
